Number,Status,Arrival,Departure,Count (nights),"Count (bed, nightly)",Requested category,Space category,Person count,Adults,Children
382535,Checked out,2023-10-03 14:37:48.065,2023-10-05 05:49:43.754,2,2,Comfort Double,Comfort Double,1,1,0
372701,Checked out,2023-10-03 14:24:00.403,2023-10-05 08:54:45.756,2,2,Comfort Double,Comfort Double,1,1,0
381708,Checked out,2023-10-03 13:23:54.712,2023-10-04 09:35:26.123,1,1,Comfort Double,Comfort Double,1,1,0
375513,Checked out,2023-10-03 22:42:57.439,2023-10-06 07:26:37.506,3,3,Comfort Double,Comfort Double,1,1,0
380678,Checked out,2023-10-03 21:19:32.260,2023-10-05 08:47:25.955,2,2,Comfort Double,Comfort Double,1,1,0
372709,Checked out,2023-10-03 14:57:53.236,2023-10-06 11:00:00.000,3,3,Comfort Double,Comfort Double,1,1,0
372702,Checked out,2023-10-03 14:20:03.702,2023-10-05 08:50:39.776,2,2,Comfort Double,Comfort Double,1,1,0
372700,Checked out,2023-10-03 14:35:38.814,2023-10-06 11:00:00.000,3,3,Comfort Double,Comfort Double,1,1,0
380404,Checked out,2023-10-03 17:53:49.680,2023-10-05 09:28:36.697,2,2,Comfort Double,Comfort Double,1,1,0
360922,Checked out,2023-10-03 16:03:32.207,2023-10-06 10:11:32.848,3,6,Comfort Double,Comfort Double,2,2,0
382401,Checked out,2023-10-03 20:25:41.866,2023-10-04 08:50:21.900,1,1,Comfort Twin,Comfort Double,1,1,0
370649,Checked out,2023-10-03 18:39:58.950,2023-10-04 08:01:46.153,1,1,Comfort Double,Comfort Double,1,1,0
377866,Checked out,2023-10-03 19:14:45.201,2023-10-05 09:20:34.078,2,2,Comfort Double,Comfort Double,1,1,0
